sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,5,0,0,0,49044,0,0,1,1,8
0,2,5,0,0,0,49044,0,0,1,1,8
0,3,5,0,0,0,49044,0,0,1,1,8
0,4,5,0,0,0,49044,0,0,1,1,8
0,5,5,0,0,0,49044,0,0,1,1,8
0,6,5,0,0,0,49044,0,0,1,1,8
0,7,5,0,0,0,49044,0,0,1,1,8
0,8,5,0,0,0,49044,0,0,1,1,8
0,9,5,0,0,0,49044,0,0,1,1,8
0,10,5,0,0,0,49044,0,0,1,1,8
0.05,1,5,27.4391,27.4391,0,49044,0,0,1,1,8
0.05,2,5,19.8696,19.8696,0,49044,0,0,1,1,8
0.05,3,5,22.5464,22.5464,0,49044,0,0,1,1,8
0.05,4,5,28.9918,28.9918,0,49044,0,0,1,1,8
0.05,5,5,16.0139,16.0139,0,49044,0,0,1,1,8
0.05,6,5,28.2025,28.2025,0,49044,0,0,1,1,8
0.05,7,5,36.6141,36.6141,0,49044,0,0,1,1,8
0.05,8,5,18.5726,18.5726,0,49044,0,0,1,1,8
0.05,9,5,23.5545,23.5545,0,49044,0,0,1,1,8
0.05,10,5,15.6615,15.6615,0,49044,0,0,1,1,8
0.1,1,5,23.5765,23.5765,0,49044,0,0,1,1,8
0.1,2,5,12.0226,12.0226,0,49044,0,0,1,1,8
0.1,3,5,24.3739,24.3739,0,49044,0,0,1,1,8
0.1,4,5,26.7478,26.7478,0,49044,0,0,1,1,8
0.1,5,5,18,18,0,49044,0,0,1,1,8
0.1,6,5,15.3645,15.3645,0,49044,0,0,1,1,8
0.1,7,5,30.5161,30.5161,0,49044,0,0,1,1,8
0.1,8,5,17.3305,17.3305,0,49044,0,0,1,1,8
0.1,9,5,19.2032,19.2032,0,49044,0,0,1,1,8
0.1,10,5,28.1668,28.1668,0,49044,0,0,1,1,8
0.2,1,5,27.6913,27.6913,0,49044,0,0,1,1,8
0.2,2,5,25.2795,25.2795,0,49044,0,0,1,1,8
0.2,3,5,14.2738,14.2738,0,49044,0,0,1,1,8
0.2,4,5,24.1172,24.1172,0,49044,0,0,1,1,8
0.2,5,5,33.7929,33.7929,0,49044,0,0,1,1,8
0.2,6,5,19.1945,19.1945,0,49044,0,0,1,1,8
0.2,7,5,12.1935,12.1935,0,49044,0,0,1,1,8
0.2,8,5,33.0047,33.0047,0,49044,0,0,1,1,8
0.2,9,5,20.4731,20.4731,0,49044,0,0,1,1,8
0.2,10,5,30.3533,30.3533,0,49044,0,0,1,1,8
0.5,1,5,14.4302,14.4302,0,49044,0,0,1,1,8
0.5,2,5,34.5463,34.5463,0,49044,0,0,1,1,8
0.5,3,5,26.0907,26.0907,0,49044,0,0,1,1,8
0.5,4,5,17.4554,17.4554,0,49044,0,0,1,1,8
0.5,5,5,34.9229,34.9229,0,49044,0,0,1,1,8
0.5,6,5,14.5511,14.5511,0,49044,0,0,1,1,8
0.5,7,5,16.5383,16.5383,0,49044,0,0,1,1,8
0.5,8,5,12.2931,12.2931,0,49044,0,0,1,1,8
0.5,9,5,31.7715,31.7715,0,49044,0,0,1,1,8
0.5,10,5,19.173,19.173,0,49044,0,0,1,1,8
1,1,5,25.6162,25.6162,0,49044,0,0,1,1,8
1,2,5,24.0642,24.0642,0,49044,0,0,1,1,8
1,3,5,28.4265,28.4265,0,49044,0,0,1,1,8
1,4,5,30.2467,30.2467,0,49044,0,0,1,1,8
1,5,5,26.7677,26.7677,0,49044,0,0,1,1,8
1,6,5,21.5599,21.5599,0,49044,0,0,1,1,8
1,7,5,11.5651,11.5651,0,49044,0,0,1,1,8
1,8,5,18.7469,18.7469,0,49044,0,0,1,1,8
1,9,5,31.892,31.892,0,49044,0,0,1,1,8
1,10,5,29.2998,29.2998,0,49044,0,0,1,1,8
2,1,5,15.6137,15.6137,0,49044,0,0,1,1,8
2,2,5,12.8345,12.8345,0,49044,0,0,1,1,8
2,3,5,23.3647,23.3647,0,49044,0,0,1,1,8
2,4,5,26.606,26.606,0,49044,0,0,1,1,8
2,5,5,16.3106,16.3106,0,49044,0,0,1,1,8
2,6,5,31.0244,31.0244,0,49044,0,0,1,1,8
2,7,5,10.1239,10.1239,0,49044,0,0,1,1,8
2,8,5,22.8125,22.8125,0,49044,0,0,1,1,8
2,9,5,27.4012,27.4012,0,49044,0,0,1,1,8
2,10,5,16.7705,16.7705,0,49044,0,0,1,1,8
