catalog_size,repeat,observations,runtime_us,runtime_ms
10,1,10,649,0.649
10,2,10,478,0.478
10,3,10,494,0.494
10,4,10,461,0.461
10,5,10,509,0.509
25,1,10,1127,1.127
25,2,10,1267,1.267
25,3,10,1126,1.126
25,4,10,1125,1.125
25,5,10,1180,1.18
50,1,10,3884,3.884
50,2,10,3245,3.245
50,3,10,2753,2.753
50,4,10,2521,2.521
50,5,10,2314,2.314
100,1,10,4992,4.992
100,2,10,6412,6.412
100,3,10,5660,5.66
100,4,10,5074,5.074
100,5,10,6916,6.916
120,1,10,6296,6.296
120,2,10,5871,5.871
120,3,10,5527,5.527
120,4,10,6346,6.346
120,5,10,5455,5.455
