scenario,sigma_deg,trial,catalog_size,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
known,0,1,25,17070,2.24797e-06,1,1,1,1
unknown,0,1,24,57492,6.69568e+08,0,0,-1,1
known,0,2,25,17070,2.24797e-06,1,1,1,1
unknown,0,2,24,57492,6.69568e+08,0,0,-1,1
known,0,3,25,17070,2.24797e-06,1,1,1,1
unknown,0,3,24,57492,6.69568e+08,0,0,-1,1
known,0.1,1,25,17070,4.75343,0.313546,1,1,1
unknown,0.1,1,24,57492,66064.4,0,0,-1,1
known,0.1,2,25,17070,3.89107,0.420948,1,1,1
unknown,0.1,2,24,57492,66689.3,0,0,-1,1
known,0.1,3,25,17070,7.55901,0.109135,1,1,1
unknown,0.1,3,24,57492,67261.5,0,0,-1,1
known,0.5,1,25,17070,1.4731,0.831396,1,1,1
unknown,0.5,1,24,57492,2774.72,0,0,-1,1
known,0.5,2,25,17070,10.2108,0.0370221,1,1,1
unknown,0.5,2,24,57492,2771.37,0,0,-1,1
known,0.5,3,25,17070,5.18722,0.268621,1,1,1
unknown,0.5,3,24,57492,2766.2,0,0,-1,1
known,1,1,25,17070,1.58777,0.810988,1,1,1
unknown,1,1,24,57492,630.636,3.62473e-135,0,-1,1
known,1,2,25,17070,3.29208,0.510188,1,1,1
unknown,1,2,24,57492,721.096,9.42001e-155,0,-1,1
known,1,3,25,17070,1.41807,0.841049,1,1,1
unknown,1,3,24,57492,686.584,2.79951e-147,0,-1,1
known,2,1,25,17070,2.07146,0.722617,1,1,1
unknown,2,1,24,57492,145.493,1.88072e-30,0,-1,1
known,2,2,25,17070,2.4183,0.659323,1,1,1
unknown,2,2,24,57492,204.429,4.19317e-43,0,-1,1
known,2,3,25,17070,5.15995,0.271276,1,1,1
unknown,2,3,24,57492,176.739,3.73962e-37,0,-1,1
