target_norad,catalog_mode,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
68837,prefix,26,0,1,3,2,0,0,0,68689,0,1,1,1,2
68837,prefix,26,0,2,3,2,0,0,0,68689,0,1,1,1,2
68837,prefix,26,0,3,3,2,0,0,0,68689,0,1,1,1,2
68837,prefix,26,0,4,3,2,0,0,0,68689,0,1,1,1,2
68837,prefix,26,0,5,3,2,0,0,0,68689,0,1,1,1,2
68837,prefix,26,0.05,1,3,8,4.33226,4.01321,0,49044,0,0,1,0,6
68837,prefix,26,0.05,2,3,2,2.20783,2.20783,0,68689,0,1,1,1,2
68837,prefix,26,0.05,3,3,2,12.6721,12.6721,0,68689,0,1,1,1,2
68837,prefix,26,0.05,4,3,8,3.99513,3.41712,0,49044,0,0,1,0,6
68837,prefix,26,0.05,5,3,8,4.47925,4.34879,0,49044,0,0,1,0,6
68837,prefix,26,0.1,1,3,2,2.3997,2.3997,0,68689,0,1,1,1,2
68837,prefix,26,0.1,2,3,8,6.52861,6.43994,0,49044,0,0,1,0,6
68837,prefix,26,0.1,3,3,8,7.29924,6.70205,0,49044,0,0,1,0,6
68837,prefix,26,0.1,4,3,2,6.46931,6.46931,0,68689,0,1,1,1,2
68837,prefix,26,0.1,5,3,8,3.58246,3.43735,0,49044,0,0,1,0,6
68837,prefix,26,0.25,1,3,8,4.49981,4.44101,0,49044,0,0,1,0,6
68837,prefix,26,0.25,2,3,8,3.66027,3.59085,0,49044,0,0,1,0,6
68837,prefix,26,0.25,3,3,8,4.71574,4.61859,0,49044,0,0,1,0,6
68837,prefix,26,0.25,4,3,2,5.85579,5.85579,0,68689,0,1,1,1,2
68837,prefix,26,0.25,5,3,8,7.75393,7.67203,0,49044,0,0,1,0,6
68837,prefix,26,0.5,1,3,8,0.97207,0.941938,0,49044,0,0,1,0,6
68837,prefix,26,0.5,2,3,2,17.8034,17.8034,0,68689,0,1,1,1,2
68837,prefix,26,0.5,3,3,2,1.56124,1.56124,0,68689,0,1,1,1,2
