orbit_type,target_norad,target_name,mean_motion_rev_day,inclination_deg,eccentricity,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_fit_p_value,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,runtime_us,runtime_ms
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,1,10,1,0.000165027,0.000165027,1,4.21932e+08,39471,1,1,1,20259,20.259
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,2,10,1,0.000165027,0.000165027,1,4.21932e+08,39471,1,1,1,1457,1.457
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,3,10,1,0.000165027,0.000165027,1,4.21932e+08,39471,1,1,1,2084,2.084
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,4,10,1,0.000165027,0.000165027,1,4.21932e+08,39471,1,1,1,1614,1.614
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,5,10,1,0.000165027,0.000165027,1,4.21932e+08,39471,1,1,1,1415,1.415
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,1,10,1,40.3871,40.3871,0.365249,168213,39471,1,1,1,1388,1.388
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,2,10,1,41.4055,41.4055,0.324354,168625,39471,1,1,1,1402,1.402
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,3,10,1,25.36,25.36,0.9421,169282,39471,1,1,1,1437,1.437
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,4,10,1,35.1713,35.1713,0.600966,168329,39471,1,1,1,1394,1.394
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,5,10,1,20.2334,20.2334,0.991947,168193,39471,1,1,1,1467,1.467
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,1,10,1,26.8312,26.8312,0.912332,42209.4,39471,1,1,1,1430,1.43
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,2,10,1,34.4512,34.4512,0.634318,41577.3,39471,1,1,1,1414,1.414
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,3,10,1,49.7354,49.7354,0.0962957,41595.2,39471,1,1,1,2493,2.493
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,4,10,1,22.622,22.622,0.977337,42725.3,39471,1,1,1,1487,1.487
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,5,10,1,51.6069,51.6069,0.0693944,42302.6,39471,1,1,1,1500,1.5
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,1,10,1,42.3089,42.3089,0.290268,6734.58,39471,1,1,1,1511,1.511
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,2,10,1,95.7687,95.7687,6.8881e-07,6696.82,39471,1,1,1,1377,1.377
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,3,10,1,27.6467,27.6467,0.89219,6830.2,39471,1,1,1,1409,1.409
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,4,10,1,39.9701,39.9701,0.382684,6900.13,39471,1,1,1,1567,1.567
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,5,10,1,20.9835,20.9835,0.988574,6614.78,39471,1,1,1,1647,1.647
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,1,10,1,33.7176,33.7176,0.66774,1685.85,39471,1,1,1,1614,1.614
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,2,10,1,48.6062,48.6062,0.116273,1727.95,39471,1,1,1,2762,2.762
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,3,10,1,17.6099,17.6099,0.998086,1598.13,39471,1,1,1,1937,1.937
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,4,10,1,56.7054,56.7054,0.0259943,1753.97,39471,1,1,1,1831,1.831
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,5,10,1,27.3556,27.3556,0.899683,1621.17,39471,1,1,1,1737,1.737
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,1,10,1,37.9268,37.9268,0.47282,286.904,39471,1,1,1,1731,1.731
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,2,10,1,22.1687,22.1687,0.981057,451.438,39471,1,1,1,1625,1.625
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,3,10,1,49.5581,49.5581,0.0992336,455.811,39471,1,1,1,1420,1.42
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,4,10,1,19.9562,19.9562,0.992968,398.41,39471,1,1,1,1365,1.365
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,5,10,1,33.0662,33.0662,0.696745,328,39471,1,1,1,2260,2.26
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1.5,1,10,1,43.0799,43.0799,0.262927,178.94,39471,1,1,1,1770,1.77
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1.5,2,10,1,32.2841,32.2841,0.730454,190.212,39471,1,1,1,1520,1.52
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1.5,3,10,1,34.8818,34.8818,0.614422,228.446,39471,1,1,1,1387,1.387
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1.5,4,10,1,24.7785,24.7785,0.95164,186.26,39471,1,1,1,1383,1.383
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1.5,5,10,1,38.3506,38.3506,0.453588,191.894,39471,1,1,1,1462,1.462
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,2,1,10,1,30.5656,30.5656,0.798948,101.543,39471,1,1,1,1388,1.388
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,2,2,10,1,46.9886,46.9886,0.150432,127.123,39471,1,1,1,1392,1.392
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,2,3,10,1,32.522,32.522,0.720345,128.455,39471,1,1,1,1380,1.38
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,2,4,10,1,32.5614,32.5614,0.718656,121.209,39471,1,1,1,2182,2.182
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,2,5,10,1,21.7326,21.7326,0.984172,119.284,39471,1,1,1,1766,1.766
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0,1,10,1,0.0021497,0.0021497,1,6.69773e+09,38761,1,1,1,23349,23.349
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0,2,10,1,0.0021497,0.0021497,1,6.69773e+09,38761,1,1,1,1849,1.849
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0,3,10,1,0.0021497,0.0021497,1,6.69773e+09,38761,1,1,1,1737,1.737
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0,4,10,1,0.0021497,0.0021497,1,6.69773e+09,38761,1,1,1,1492,1.492
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0,5,10,1,0.0021497,0.0021497,1,6.69773e+09,38761,1,1,1,1698,1.698
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,1,10,1,27.7244,27.7244,0.890132,2.67888e+06,38761,1,1,1,1475,1.475
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,2,10,1,34.3755,34.3755,0.637798,2.68e+06,38761,1,1,1,1811,1.811
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,3,10,1,40.5222,40.5222,0.359681,2.67954e+06,38761,1,1,1,1707,1.707
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,4,10,1,39.9731,39.9731,0.382556,2.6832e+06,38761,1,1,1,1615,1.615
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.05,5,10,1,26.9583,26.9583,0.909365,2.67775e+06,38761,1,1,1,1568,1.568
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,1,10,1,22.3214,22.3214,0.979861,667762,38761,1,1,1,2033,2.033
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,2,10,1,30.5803,30.5803,0.798402,668926,38761,1,1,1,1550,1.55
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,3,10,1,25.6981,25.6981,0.935987,671573,38761,1,1,1,1462,1.462
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,4,10,1,43.7792,43.7792,0.239579,672774,38761,1,1,1,1489,1.489
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.1,5,10,1,22.5824,22.5824,0.977683,668066,38761,1,1,1,1610,1.61
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,1,10,1,21.1034,21.1034,0.987944,107976,38761,1,1,1,2168,2.168
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,2,10,1,53.2144,53.2144,0.0516197,107262,38761,1,1,1,1714,1.714
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,3,10,1,44.8659,44.8659,0.206089,106136,38761,1,1,1,1859,1.859
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,4,10,1,57.1711,57.1711,0.0236193,107824,38761,1,1,1,2329,2.329
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.25,5,10,1,30.6499,30.6499,0.795797,107682,38761,1,1,1,1658,1.658
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,1,10,1,33.5146,33.5146,0.676858,26880.4,38761,1,1,1,1765,1.765
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,2,10,1,29.3726,29.3726,0.840915,26463.6,38761,1,1,1,1844,1.844
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,3,10,1,54.5006,54.5006,0.0403621,25792.8,38761,1,1,1,2239,2.239
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,4,10,1,25.6696,25.6696,0.936519,26223.7,38761,1,1,1,1822,1.822
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,0.5,5,10,1,36.4246,36.4246,0.542381,27139.6,38761,1,1,1,1821,1.821
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,1,10,1,25.9124,25.9124,0.931891,6686.28,38761,1,1,1,1738,1.738
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,2,10,1,66.6359,66.6359,0.00277566,6762.26,38761,1,1,1,1773,1.773
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,3,10,1,57.095,57.095,0.0239938,6885.53,38761,1,1,1,1547,1.547
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,4,10,1,31.1971,31.1971,0.774786,6533.56,38761,1,1,1,1564,1.564
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1,5,10,1,50.1073,50.1073,0.0903605,6548.19,38761,1,1,1,1907,1.907
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,1,10,1,31.9418,31.9418,0.744762,3049.32,38761,1,1,1,1885,1.885
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,2,10,1,46.1124,46.1124,0.171864,2844.14,38761,1,1,1,1561,1.561
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,3,10,1,33.5506,33.5506,0.675245,2929.59,38761,1,1,1,1455,1.455
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,4,10,1,36.1255,36.1255,0.556372,3089.02,38761,1,1,1,1410,1.41
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,1.5,5,10,1,36.8776,36.8776,0.521246,3200.43,38761,1,1,1,1860,1.86
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,1,10,1,39.7918,39.7918,0.390253,1644.89,38761,1,1,1,1480,1.48
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,2,10,1,45.7074,45.7074,0.182497,1538.35,38761,1,1,1,1582,1.582
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,3,10,1,39.6399,39.6399,0.396751,1661.27,38761,1,1,1,1488,1.488
LEO,38761,"CSSWE                   ",15.427,64.6623,0.0053913,500,2,4,10,1,29.6643,29.6643,0.831124,1627.67,38761,1,1,1,1429,1.429
