scenario,target_norad,sigma_deg,trial,catalog_size,observation_count,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
known_hard,17070,0,1,250,10,17070,0,1,1,1,1
unknown_random,17070,0,1,249,10,34955,9.67322e+08,0,0,-1,1
unknown_hard,17070,0,1,250,10,62256,1.20485e+07,0,0,-1,1
known_hard,17070,0,2,250,10,17070,0,1,1,1,1
unknown_random,17070,0,2,249,10,34955,9.67322e+08,0,0,-1,1
unknown_hard,17070,0,2,250,10,62256,1.20485e+07,0,0,-1,1
known_hard,17070,0,3,250,10,17070,0,1,1,1,1
unknown_random,17070,0,3,249,10,34955,9.67322e+08,0,0,-1,1
unknown_hard,17070,0,3,250,10,62256,1.20485e+07,0,0,-1,1
known_hard,17070,0,4,250,10,17070,0,1,1,1,1
unknown_random,17070,0,4,249,10,34955,9.67322e+08,0,0,-1,1
unknown_hard,17070,0,4,250,10,62256,1.20485e+07,0,0,-1,1
known_hard,17070,0,5,250,10,17070,0,1,1,1,1
unknown_random,17070,0,5,249,10,34955,9.67322e+08,0,0,-1,1
unknown_hard,17070,0,5,250,10,62256,1.20485e+07,0,0,-1,1
known_hard,17070,0.01,1,250,10,17070,25.2301,0.944336,1,1,1
unknown_random,17070,0.01,1,249,10,34955,9.67901e+06,0,0,-1,1
unknown_hard,17070,0.01,1,250,10,62256,120273,0,0,-1,1
known_hard,17070,0.01,2,250,10,17070,26.37,0.922558,1,1,1
unknown_random,17070,0.01,2,249,10,34955,9.67342e+06,0,0,-1,1
unknown_hard,17070,0.01,2,250,10,62256,119618,0,0,-1,1
known_hard,17070,0.01,3,250,10,17070,22.2864,0.98014,1,1,1
unknown_random,17070,0.01,3,249,10,34955,9.6566e+06,0,0,-1,1
unknown_hard,17070,0.01,3,250,10,62256,120501,0,0,-1,1
known_hard,17070,0.01,4,250,10,17070,20.9813,0.988586,1,1,1
unknown_random,17070,0.01,4,249,10,34955,9.676e+06,0,0,-1,1
unknown_hard,17070,0.01,4,250,10,62256,120801,0,0,-1,1
known_hard,17070,0.01,5,250,10,17070,39.4869,0.403343,1,1,1
unknown_random,17070,0.01,5,249,10,34955,9.66938e+06,0,0,-1,1
