target_norad,catalog_mode,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
17070,prefix,250,0,1,10,1,0,0,9.67322e+08,17070,1,1,1,1,1
17070,prefix,250,0,2,10,1,0,0,9.67322e+08,17070,1,1,1,1,1
17070,prefix,250,0,3,10,1,0,0,9.67322e+08,17070,1,1,1,1,1
17070,prefix,250,0,4,10,1,0,0,9.67322e+08,17070,1,1,1,1,1
17070,prefix,250,0,5,10,1,0,0,9.67322e+08,17070,1,1,1,1,1
17070,prefix,250,0.01,1,10,1,36.3586,36.3586,9.68059e+06,17070,1,1,1,1,1
17070,prefix,250,0.01,2,10,1,48.8783,48.8783,9.66732e+06,17070,1,1,1,1,1
17070,prefix,250,0.01,3,10,1,52.6074,52.6074,9.67279e+06,17070,1,1,1,1,1
17070,prefix,250,0.01,4,10,1,32.7088,32.7088,9.67277e+06,17070,1,1,1,1,1
17070,prefix,250,0.01,5,10,1,41.4431,41.4431,9.68117e+06,17070,1,1,1,1,1
17070,prefix,250,0.02,1,10,1,55.2166,55.2166,2.4201e+06,17070,1,1,1,1,1
17070,prefix,250,0.02,2,10,1,30.6623,30.6623,2.41718e+06,17070,1,1,1,1,1
17070,prefix,250,0.02,3,10,1,46.5405,46.5405,2.42383e+06,17070,1,1,1,1,1
17070,prefix,250,0.02,4,10,1,50.6421,50.6421,2.41857e+06,17070,1,1,1,1,1
17070,prefix,250,0.02,5,10,1,24.4715,24.4715,2.413e+06,17070,1,1,1,1,1
17070,prefix,250,0.03,1,10,1,65.9243,65.9243,1.07251e+06,17070,1,1,1,1,1
17070,prefix,250,0.03,2,10,1,82.4581,82.4581,1.07458e+06,17070,1,1,1,1,1
17070,prefix,250,0.03,3,10,1,34.2098,34.2098,1.07546e+06,17070,1,1,1,1,1
17070,prefix,250,0.03,4,10,1,43.9742,43.9742,1.07769e+06,17070,1,1,1,1,1
17070,prefix,250,0.03,5,10,1,24.268,24.268,1.08035e+06,17070,1,1,1,1,1
17070,prefix,250,0.04,1,10,1,45.0689,45.0689,605054,17070,1,1,1,1,1
17070,prefix,250,0.04,2,10,1,21.1243,21.1243,604389,17070,1,1,1,1,1
17070,prefix,250,0.04,3,10,1,46.9237,46.9237,603274,17070,1,1,1,1,1
17070,prefix,250,0.04,4,10,1,32.5887,32.5887,600870,17070,1,1,1,1,1
17070,prefix,250,0.04,5,10,1,34.3946,34.3946,605644,17070,1,1,1,1,1
17070,prefix,250,0.05,1,10,1,24.1383,24.1383,386211,17070,1,1,1,1,1
17070,prefix,250,0.05,2,10,1,55.3167,55.3167,384782,17070,1,1,1,1,1
17070,prefix,250,0.05,3,10,1,29.5098,29.5098,384488,17070,1,1,1,1,1
17070,prefix,250,0.05,4,10,1,38.5801,38.5801,387289,17070,1,1,1,1,1
17070,prefix,250,0.05,5,10,1,58.8638,58.8638,387849,17070,1,1,1,1,1
17070,prefix,250,0.06,1,10,1,52.7791,52.7791,268754,17070,1,1,1,1,1
17070,prefix,250,0.06,2,10,1,43.7638,43.7638,268124,17070,1,1,1,1,1
17070,prefix,250,0.06,3,10,1,25.8146,25.8146,267913,17070,1,1,1,1,1
17070,prefix,250,0.06,4,10,1,44.1719,44.1719,270973,17070,1,1,1,1,1
17070,prefix,250,0.06,5,10,1,64.759,64.759,267910,17070,1,1,1,1,1
17070,prefix,250,0.07,1,10,1,36.5871,36.5871,197208,17070,1,1,1,1,1
17070,prefix,250,0.07,2,10,1,22.6203,22.6203,196541,17070,1,1,1,1,1
